ID,NAME,BOT_ID,MISSION_ID,ORDER,CREATIVE_NAME,learn_data,Story,LEARN_MECHANISM (LLM type),Activity_Category,STATUS,Level_bot_id,ICON,estimate time,,
190526_06,Dạo chơi vườn cây ăn quả,1626,preA1_24,64,Dạo chơi vườn cây ăn quả,"{
""words"": [
{
""word"": ""Lime"",
""translation"": ""Quả chanh xanh""
},
{
""word"": ""Melon"",
""translation"": ""Quả dưa""
},
{
""word"": ""Nest"",
""translation"": ""Tổ""
},
{
""word"": ""Owl"",
""translation"": ""Con cú""
}
],
""sentences"": []
}
",Pika muốn nói chuyện một chút với cậu về chủ đề thú vị này,AGENT,"Luyện ngữ âm









",ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1626
  }
}",,,,
060526_17,Tiệc quả thơm ngon,1576,preA1_24,65,Tiệc quả thơm ngon,"{
  ""words"": []
 }","Là lá la, Pika có một bài hát siêu hay dành cho bé đây!",WORK_FLOW,Hát cùng Pika,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1576
  }
}",,,"{
""words"": [
{ ""word"": ""banana"", ""translation"": ""quả chuối"" },
{ ""word"": ""apple"", ""translation"": ""quả táo"" },
{ ""word"": ""orange"", ""translation"": ""quả cam"" },
{ ""word"": ""mango"", ""translation"": ""quả xoài"" },
{ ""word"": ""lime"", ""translation"": ""quả chanh"" },
{ ""word"": ""coconut"", ""translation"": ""quả dừa"" },
{ ""word"": ""pear"", ""translation"": ""quả lê"" },
{ ""word"": ""peach"", ""translation"": ""quả đào"" },
{ ""word"": ""watermelon"", ""translation"": ""dưa hấu"" },
{ ""word"": ""pineapple"", ""translation"": ""quả dứa"" }
],
""sentences"": [
{
""text"": ""What is this?"",
""translation"": ""Đây là gì?""
},
{
""text"": ""This is a banana"",
""translation"": ""Đây là một quả chuối""
},
{
""text"": ""This is an apple"",
""translation"": ""Đây là một quả táo""
},
{
""text"": ""This is an orange"",
""translation"": ""Đây là một quả cam""
},
{
""text"": ""This is a mango"",
""translation"": ""Đây là một quả xoài""
},
{
""text"": ""This is a lime"",
""translation"": ""Đây là một quả chanh""
},
{
""text"": ""This is a coconut"",
""translation"": ""Đây là một quả dừa""
},
{
""text"": ""This is a pear"",
""translation"": ""Đây là một quả lê""
},
{
""text"": ""This is a peach"",
""translation"": ""Đây là một quả đào""
},
{
""text"": ""This is a watermelon"",
""translation"": ""Đây là một quả dưa hấu""
},
{
""text"": ""This is a pineapple"",
""translation"": ""Đây là một quả dứa""
},
{
""text"": ""What are these?"",
""translation"": ""Đây là những gì?""
},
{
""text"": ""These are grapes"",
""translation"": ""Đây là những quả nho""
},
{
""text"": ""These are strawberries"",
""translation"": ""Đây là những quả dâu tây""
}
]
}
",
262026_25,Ngôi nhà của tớ,1028,preA1_25,66,Ngôi nhà của tớ,"{
  ""words"": [
  {
  ""word"": ""bed"",
  ""translation"": ""giường""
  },
  {
  ""word"": ""fridge"",
  ""translation"": ""tủ lạnh""
  },
  {
  ""word"": ""desk"",
  ""translation"": ""bàn""
  },
  {
  ""word"": ""lamp"",
  ""translation"": ""đèn""
  },
  {
  ""word"": ""window"",
  ""translation"": ""cửa sổ""
  },
  {
  ""word"": ""door"",
  ""translation"": ""cánh cửa""
  }
  ]
 }","Cùng học từ vựng về chủ đề đồ dùng, vật dụng trong nhà",WORK_FLOW,Nạp cụm,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1028
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""bed"",
  ""translation"": ""giường""
  },
  {
  ""word"": ""fridge"",
  ""translation"": ""tủ lạnh""
  },
  {
  ""word"": ""desk"",
  ""translation"": ""bàn""
  },
  {
  ""word"": ""lamp"",
  ""translation"": ""đèn""
  },
  {
  ""word"": ""window"",
  ""translation"": ""cửa sổ""
  },
  {
  ""word"": ""door"",
  ""translation"": ""cánh cửa""
  }
  ]
 }",
060526_18,Đồ dùng bé yêu,1577,preA1_25,67,Đồ dùng bé yêu,"{
  ""words"": []
 }","Là lá la, Pika có một bài hát siêu hay dành cho bé đây!",WORK_FLOW,Hát cùng Pika,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1577
  }
}",,,"{
  ""words"": []
 }",
262026_27.2,Phép màu kỳ diệu,1161,preA1_26,68,Phép màu kỳ diệu,"{
  ""words"": [
  {
  ""word"": ""bed"",
  ""translation"": ""giường""
  },
  {
  ""word"": ""desk"",
  ""translation"": ""bàn""
  },
  {
  ""word"": ""lamp"",
  ""translation"": ""đèn""
  },
  {
  ""word"": ""window"",
  ""translation"": ""cửa sổ""
  }
  ]
 }",Cùng nói cụm từ 3 lần để thấy phép màu kỳ diệu từ hành tinh Popa,WORK_FLOW,Khởi động,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1161
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""bed"",
  ""translation"": ""giường""
  },
  {
  ""word"": ""desk"",
  ""translation"": ""bàn""
  },
  {
  ""word"": ""lamp"",
  ""translation"": ""đèn""
  },
  {
  ""word"": ""window"",
  ""translation"": ""cửa sổ""
  }
  ]
 }",
262026_26,Gặp gỡ bạn Henry,1084,preA1_26,69,Gặp gỡ bạn Henry,"{
  ""words"": [
  {
  ""word"": ""bed"",
  ""translation"": ""giường""
  },
  {
  ""word"": ""fridge"",
  ""translation"": ""tủ lạnh""
  },
  {
  ""word"": ""desk"",
  ""translation"": ""bàn""
  },
  {
  ""word"": ""lamp"",
  ""translation"": ""đèn""
  },
  {
  ""word"": ""window"",
  ""translation"": ""cửa sổ""
  },
  {
  ""word"": ""door"",
  ""translation"": ""cánh cửa""
  }
  ]
 }","Henry là bạn thân của Pika ở trên hành tinh Popa, hôm nay mình sẽ cùng bạn Henry khám phá hành tinh Popa nhé, sẽ có khá nhiều điểm tương đồng với trái đất mình lắm cậu ơi",WORK_FLOW,Luyện tập,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1084
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""bed"",
  ""translation"": ""giường""
  },
  {
  ""word"": ""fridge"",
  ""translation"": ""tủ lạnh""
  },
  {
  ""word"": ""desk"",
  ""translation"": ""bàn""
  },
  {
  ""word"": ""lamp"",
  ""translation"": ""đèn""
  },
  {
  ""word"": ""window"",
  ""translation"": ""cửa sổ""
  },
  {
  ""word"": ""door"",
  ""translation"": ""cánh cửa""
  }
  ]
 }",
262026_27,Thẻ bài nội thất,1063,preA1_27,70,Thẻ bài nội thất,"{
  ""words"": [
  {
  ""word"": ""bed"",
  ""translation"": ""giường""
  },
  {
  ""word"": ""fridge"",
  ""translation"": ""tủ lạnh""
  },
  {
  ""word"": ""desk"",
  ""translation"": ""bàn""
  },
  {
  ""word"": ""lamp"",
  ""translation"": ""đèn""
  },
  {
  ""word"": ""window"",
  ""translation"": ""cửa sổ""
  },
  {
  ""word"": ""door"",
  ""translation"": ""cánh cửa""
  }
  ]
 }","Những tấm thẻ đầy màu sắc được xáo trộn, cậu hãy tinh mắt để đoán đúng tấm thẻ tớ chọn nhé!",WORK_FLOW,Khởi động,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1063
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""bed"",
  ""translation"": ""giường""
  },
  {
  ""word"": ""fridge"",
  ""translation"": ""tủ lạnh""
  },
  {
  ""word"": ""desk"",
  ""translation"": ""bàn""
  },
  {
  ""word"": ""lamp"",
  ""translation"": ""đèn""
  },
  {
  ""word"": ""window"",
  ""translation"": ""cửa sổ""
  },
  {
  ""word"": ""door"",
  ""translation"": ""cánh cửa""
  }
  ]
 }",
190526_07,Vương quốc diệu kì,1668,preA1_27,71,Vương quốc diệu kì,"{
  ""words"": [
    {
      ""word"": ""Peacock"",
      ""translation"": ""Con công""
    },
    {
      ""word"": ""Queen"",
      ""translation"": ""Nữ hoàng""
    },
    {
      ""word"": ""Rose"",
      ""translation"": ""Hoa hồng""
    },
    {
      ""word"": ""Swan"",
      ""translation"": ""Thiên nga""
    }
  ],
  ""sentences"": []
}",Pika muốn nói chuyện một chút với cậu về chủ đề thú vị này,AGENT,"Luyện ngữ âm









",ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1668
  }
}",,,,
060526_19,Nhà mình thật vui,1632,preA1_27,72,Nhà mình thật vui,"{
  ""words"": []
 }","Là lá la, Pika có một bài hát siêu hay dành cho bé đây!",WORK_FLOW,Hát cùng Pika,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1632
  }
}",,,"{
  ""words"": []
 }",
262026_28,Ngôi nhà của tớ (phần 2),1092,preA1_28,73,Ngôi nhà của tớ (phần 2),"{
  ""words"": [
  {
  ""word"": ""sofa"",
  ""translation"": ""ghế sofa""
  },
  {
  ""word"": ""TV"",
  ""translation"": ""ti vi""
  },
  {
  ""word"": ""clock"",
  ""translation"": ""đồng hồ""
  },
  {
  ""word"": ""mirror"",
  ""translation"": ""gương""
  },
  {
  ""word"": ""cupboard"",
  ""translation"": ""tủ""
  },
  {
  ""word"": ""shelf"",
  ""translation"": ""kệ""
  }
  ]
 }","Cùng học từ vựng về chủ đề đồ dùng, vật dụng trong nhà",WORK_FLOW,Nạp cụm,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1092
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""sofa"",
  ""translation"": ""ghế sofa""
  },
  {
  ""word"": ""TV"",
  ""translation"": ""ti vi""
  },
  {
  ""word"": ""clock"",
  ""translation"": ""đồng hồ""
  },
  {
  ""word"": ""mirror"",
  ""translation"": ""gương""
  },
  {
  ""word"": ""cupboard"",
  ""translation"": ""tủ""
  },
  {
  ""word"": ""shelf"",
  ""translation"": ""kệ""
  }
  ]
 }",
262026_29,Đánh thức rồng con,1107,preA1_28,74,Đánh thức rồng con,"{
  ""words"": [
  {
  ""word"": ""sofa"",
  ""translation"": ""ghế sofa""
  },
  {
  ""word"": ""TV"",
  ""translation"": ""ti vi""
  },
  {
  ""word"": ""clock"",
  ""translation"": ""đồng hồ""
  },
  {
  ""word"": ""mirror"",
  ""translation"": ""gương""
  },
  {
  ""word"": ""cupboard"",
  ""translation"": ""tủ""
  },
  {
  ""word"": ""shelf"",
  ""translation"": ""kệ""
  }
  ]
 }",Cùng đánh thức những chú rồng con đáng yêu bằng khả năng ghi nhớ và phát âm,WORK_FLOW,Khởi động,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1107
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""sofa"",
  ""translation"": ""ghế sofa""
  },
  {
  ""word"": ""TV"",
  ""translation"": ""ti vi""
  },
  {
  ""word"": ""clock"",
  ""translation"": ""đồng hồ""
  },
  {
  ""word"": ""mirror"",
  ""translation"": ""gương""
  },
  {
  ""word"": ""cupboard"",
  ""translation"": ""tủ""
  },
  {
  ""word"": ""shelf"",
  ""translation"": ""kệ""
  }
  ]
 }",
262026_30.1,Thử thách gọi tên,1126,preA1_28,75,Thử thách gọi tên,"{
  ""words"": []
 }",Thử thách: Hô to những biểu tượng cậu thấy. Phải thật nhanh nha!,WORK_FLOW,Luyện tập,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1126
  }
}",,,"{
  ""words"": []
 }",
060526_20,Đồ vật quanh bé,1533,preA1_28,76,Đồ vật quanh bé,"{
  ""words"": []
 }","Là lá la, Pika có một bài hát siêu hay dành cho bé đây!",WORK_FLOW,Hát cùng Pika,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1533
  }
}",,,"{
  ""words"": []
 }",
060526_21,Phép màu kỳ diệu,1500,preA1_29,77,Phép màu kỳ diệu,"{
  ""words"": []
 }",Cùng nói cụm từ 3 lần để thấy phép màu kỳ diệu từ hành tinh Popa,WORK_FLOW,Khởi động,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1500
  }
}",,,"{
  ""words"": []
 }",
262026_27.1,Đường đua kỳ thú,1156,preA1_29,78,Đường đua kỳ thú,"{
  ""words"": [
  {
  ""word"": ""bed"",
  ""translation"": ""giường""
  },
  {
  ""word"": ""fridge"",
  ""translation"": ""tủ lạnh""
  },
  {
  ""word"": ""desk"",
  ""translation"": ""bàn""
  },
  {
  ""word"": ""lamp"",
  ""translation"": ""đèn""
  },
  {
  ""word"": ""window"",
  ""translation"": ""cửa sổ""
  },
  {
  ""word"": ""door"",
  ""translation"": ""cánh cửa""
  }
  ]
 }",Tham gia hành trình phiêu lưu kỳ thú cùng bạn của Pika thôi!,WORK_FLOW,Luyện tập,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1156
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""bed"",
  ""translation"": ""giường""
  },
  {
  ""word"": ""fridge"",
  ""translation"": ""tủ lạnh""
  },
  {
  ""word"": ""desk"",
  ""translation"": ""bàn""
  },
  {
  ""word"": ""lamp"",
  ""translation"": ""đèn""
  },
  {
  ""word"": ""window"",
  ""translation"": ""cửa sổ""
  },
  {
  ""word"": ""door"",
  ""translation"": ""cánh cửa""
  }
  ]
 }",
262026_30,Lựa chọn đúng - trúng phần quà,1118,preA1_30,79,Lựa chọn đúng - trúng phần quà,"{
  ""words"": [
  {
  ""word"": ""sofa"",
  ""translation"": ""ghế sofa""
  },
  {
  ""word"": ""TV"",
  ""translation"": ""ti vi""
  },
  {
  ""word"": ""clock"",
  ""translation"": ""đồng hồ""
  },
  {
  ""word"": ""mirror"",
  ""translation"": ""gương""
  },
  {
  ""word"": ""cupboard"",
  ""translation"": ""tủ""
  },
  {
  ""word"": ""shelf"",
  ""translation"": ""kệ""
  }
  ]
 }","Thử tài tinh mắt, phán đoán và nói đúng từ tiếng Anh mà cậu chọn",WORK_FLOW,Khởi động,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1118
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""sofa"",
  ""translation"": ""ghế sofa""
  },
  {
  ""word"": ""TV"",
  ""translation"": ""ti vi""
  },
  {
  ""word"": ""clock"",
  ""translation"": ""đồng hồ""
  },
  {
  ""word"": ""mirror"",
  ""translation"": ""gương""
  },
  {
  ""word"": ""cupboard"",
  ""translation"": ""tủ""
  },
  {
  ""word"": ""shelf"",
  ""translation"": ""kệ""
  }
  ]
 }",
190526_08,Vui chơi trong nhà,1669,preA1_30,80,Vui chơi trong nhà,"{
  ""words"": [
    {
      ""word"": ""Piano"",
      ""translation"": ""Đàn piano""
    },
    {
      ""word"": ""Quilt"",
      ""translation"": ""Chăn chần bông""
    },
    {
      ""word"": ""Rice"",
      ""translation"": ""Gạo""
    },
    {
      ""word"": ""Soap"",
      ""translation"": ""Xà phòng""
    }
  ],
  ""sentences"": []
}",Pika muốn nói chuyện một chút với cậu về chủ đề thú vị này,AGENT,Luyện ngữ âm,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1669
  }
}",,,,
060526_22,Đồ vật biết nói,1578,preA1_30,81,Đồ vật biết nói,"{
  ""words"": []
 }","Là lá la, Pika có một bài hát siêu hay dành cho bé đây!",WORK_FLOW,Hát cùng Pika,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1578
  }
}",,,"{
  ""words"": []
 }",
262026_31,Rèn luyện thể thao,1029,preA1_31,82,Rèn luyện thể thao,"{
  ""words"": [
  {
  ""word"": ""football"",
  ""translation"": ""bóng đá""
  },
  {
  ""word"": ""basketball"",
  ""translation"": ""bóng rổ""
  },
  {
  ""word"": ""badminton"",
  ""translation"": ""cầu lông""
  },
  {
  ""word"": ""swimming"",
  ""translation"": ""bơi lội""
  },
  {
  ""word"": ""cycling"",
  ""translation"": ""đạp xe""
  },
  {
  ""word"": ""running"",
  ""translation"": ""chạy bộ""
  }
  ]
 }",Cùng học từ vựng về chủ đề thể thao,WORK_FLOW,Nạp cụm,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1029
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""football"",
  ""translation"": ""bóng đá""
  },
  {
  ""word"": ""basketball"",
  ""translation"": ""bóng rổ""
  },
  {
  ""word"": ""badminton"",
  ""translation"": ""cầu lông""
  },
  {
  ""word"": ""swimming"",
  ""translation"": ""bơi lội""
  },
  {
  ""word"": ""cycling"",
  ""translation"": ""đạp xe""
  },
  {
  ""word"": ""running"",
  ""translation"": ""chạy bộ""
  }
  ]
 }",
060526_23,Vận động vui ghê,1579,preA1_31,83,Vận động vui ghê,"{
  ""words"": []
 }","Là lá la, Pika có một bài hát siêu hay dành cho bé đây!",WORK_FLOW,Hát cùng Pika,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1579
  }
}",,,"{
  ""words"": []
 }",
262026_33.2,Phép màu kỳ diệu,1139,preA1_32,84,Phép màu kỳ diệu,"{
  ""words"": [
  {
  ""word"": ""football"",
  ""translation"": ""bóng đá""
  },
  {
  ""word"": ""basketball"",
  ""translation"": ""bóng rổ""
  },
  {
  ""word"": ""badminton"",
  ""translation"": ""cầu lông""
  },
  {
  ""word"": ""swimming"",
  ""translation"": ""bơi lội""
  }
  ]
 }",Cùng nói cụm từ 3 lần để thấy phép màu kỳ diệu từ hành tinh Popa,WORK_FLOW,Khởi động,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1139
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""football"",
  ""translation"": ""bóng đá""
  },
  {
  ""word"": ""basketball"",
  ""translation"": ""bóng rổ""
  },
  {
  ""word"": ""badminton"",
  ""translation"": ""cầu lông""
  },
  {
  ""word"": ""swimming"",
  ""translation"": ""bơi lội""
  }
  ]
 }",
262026_32,Gặp gỡ bạn Henry,1085,preA1_32,85,Gặp gỡ bạn Henry,"{
  ""words"": [
  {
  ""word"": ""football"",
  ""translation"": ""bóng đá""
  },
  {
  ""word"": ""basketball"",
  ""translation"": ""bóng rổ""
  },
  {
  ""word"": ""badminton"",
  ""translation"": ""cầu lông""
  },
  {
  ""word"": ""swimming"",
  ""translation"": ""bơi lội""
  },
  {
  ""word"": ""cycling"",
  ""translation"": ""đạp xe""
  },
  {
  ""word"": ""running"",
  ""translation"": ""chạy bộ""
  }
  ]
 }","Thử tài tinh mắt, phán đoán và nói đúng từ tiếng Anh mà cậu chọn",WORK_FLOW,Luyện tập,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1085
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""football"",
  ""translation"": ""bóng đá""
  },
  {
  ""word"": ""basketball"",
  ""translation"": ""bóng rổ""
  },
  {
  ""word"": ""badminton"",
  ""translation"": ""cầu lông""
  },
  {
  ""word"": ""swimming"",
  ""translation"": ""bơi lội""
  },
  {
  ""word"": ""cycling"",
  ""translation"": ""đạp xe""
  },
  {
  ""word"": ""running"",
  ""translation"": ""chạy bộ""
  }
  ]
 }",
262026_33,Thẻ bài thể thao,1046,preA1_33,86,Thẻ bài thể thao,"{
  ""words"": [
  {
  ""word"": ""football"",
  ""translation"": ""bóng đá""
  },
  {
  ""word"": ""basketball"",
  ""translation"": ""bóng rổ""
  },
  {
  ""word"": ""badminton"",
  ""translation"": ""cầu lông""
  },
  {
  ""word"": ""swimming"",
  ""translation"": ""bơi lội""
  },
  {
  ""word"": ""cycling"",
  ""translation"": ""đạp xe""
  },
  {
  ""word"": ""running"",
  ""translation"": ""chạy bộ""
  }
  ]
 }","Những tấm thẻ đầy màu sắc được xáo trộn, cậu hãy tinh mắt để đoán đúng tấm thẻ tớ chọn nhé!",WORK_FLOW,Khởi động,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1046
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""football"",
  ""translation"": ""bóng đá""
  },
  {
  ""word"": ""basketball"",
  ""translation"": ""bóng rổ""
  },
  {
  ""word"": ""badminton"",
  ""translation"": ""cầu lông""
  },
  {
  ""word"": ""swimming"",
  ""translation"": ""bơi lội""
  },
  {
  ""word"": ""cycling"",
  ""translation"": ""đạp xe""
  },
  {
  ""word"": ""running"",
  ""translation"": ""chạy bộ""
  }
  ]
 }",
190526_09,Đi chơi sân vận động,1716,preA1_33,87,Đi chơi sân vận động,"{
  ""words"": [
    {
      ""word"": ""Ticket"",
      ""translation"": ""Vé""
    },
    {
      ""word"": ""Under"",
      ""translation"": ""Bên dưới""
    },
    {
      ""word"": ""Volleyball"",
      ""translation"": ""Bóng chuyền""
    },
    {
      ""word"": ""Whistle"",
      ""translation"": ""Cái còi""
    }
  ],
  ""sentences"": []
}",Pika muốn nói chuyện một chút với cậu về chủ đề thú vị này,AGENT,"Luyện ngữ âm









",ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1716
  }
}",,,,
060526_24,Khỏe cùng thể thao,1633,preA1_33,88,Khỏe cùng thể thao,"{
  ""words"": []
 }","Là lá la, Pika có một bài hát siêu hay dành cho bé đây!",WORK_FLOW,Hát cùng Pika,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1633
  }
}",,,"{
  ""words"": []
 }",
262026_34,Rèn luyện thể thao (phần 2),1093,preA1_34,89,Rèn luyện thể thao (phần 2),"{
  ""words"": [
  {
  ""word"": ""tennis"",
  ""translation"": ""quần vợt""
  },
  {
  ""word"": ""volleyball"",
  ""translation"": ""bóng chuyền""
  },
  {
  ""word"": ""baseball"",
  ""translation"": ""bóng chày""
  },
  {
  ""word"": ""skipping"",
  ""translation"": ""nhảy dây""
  },
  {
  ""word"": ""skating"",
  ""translation"": ""trượt băng""
  },
  {
  ""word"": ""skiing"",
  ""translation"": ""trượt tuyết""
  }
  ]
 }",Cùng học từ vựng về chủ đề thể thao,WORK_FLOW,Nạp cụm,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1093
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""tennis"",
  ""translation"": ""quần vợt""
  },
  {
  ""word"": ""volleyball"",
  ""translation"": ""bóng chuyền""
  },
  {
  ""word"": ""baseball"",
  ""translation"": ""bóng chày""
  },
  {
  ""word"": ""skipping"",
  ""translation"": ""nhảy dây""
  },
  {
  ""word"": ""skating"",
  ""translation"": ""trượt băng""
  },
  {
  ""word"": ""skiing"",
  ""translation"": ""trượt tuyết""
  }
  ]
 }",
262026_35,Thử tài câu cá,1102,preA1_34,90,Thử tài câu cá,"{
  ""words"": [
  {
  ""word"": ""tennis"",
  ""translation"": ""quần vợt""
  },
  {
  ""word"": ""volleyball"",
  ""translation"": ""bóng chuyền""
  },
  {
  ""word"": ""baseball"",
  ""translation"": ""bóng chày""
  },
  {
  ""word"": ""skipping"",
  ""translation"": ""nhảy dây""
  },
  {
  ""word"": ""skating"",
  ""translation"": ""trượt băng""
  },
  {
  ""word"": ""skiing"",
  ""translation"": ""trượt tuyết""
  }
  ]
 }",Thử tài câu cá với khả năng ghi nhớ và phát âm từ vựng tiếng Anh,WORK_FLOW,Khởi động,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1102
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""tennis"",
  ""translation"": ""quần vợt""
  },
  {
  ""word"": ""volleyball"",
  ""translation"": ""bóng chuyền""
  },
  {
  ""word"": ""baseball"",
  ""translation"": ""bóng chày""
  },
  {
  ""word"": ""skipping"",
  ""translation"": ""nhảy dây""
  },
  {
  ""word"": ""skating"",
  ""translation"": ""trượt băng""
  },
  {
  ""word"": ""skiing"",
  ""translation"": ""trượt tuyết""
  }
  ]
 }",
262026_36.1,Thử thách gọi tên,1127,preA1_34,91,Thử thách gọi tên,"{
  ""words"": []
 }",Thử thách: Hô to những biểu tượng cậu thấy. Phải thật nhanh nha!,WORK_FLOW,Luyện tập,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1127
  }
}",,,"{
  ""words"": []
 }",
060526_25,Nào cùng vận động,1534,preA1_34,92,Nào cùng vận động,"{
  ""words"": []
 }","Là lá la, Pika có một bài hát siêu hay dành cho bé đây!",WORK_FLOW,Hát cùng Pika,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1534
  }
}",,,"{
  ""words"": []
 }",
060526_26,Phép màu kỳ diệu,1501,preA1_35,93,Phép màu kỳ diệu,"{
  ""words"": []
 }",Cùng nói cụm từ 3 lần để thấy phép màu kỳ diệu từ hành tinh Popa,WORK_FLOW,Khởi động,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1501
  }
}",,,"{
  ""words"": []
 }",
262026_33.1,Đường đua kỳ thú,1157,preA1_35,94,Đường đua kỳ thú,"{
  ""words"": [
  {
  ""word"": ""football"",
  ""translation"": ""bóng đá""
  },
  {
  ""word"": ""basketball"",
  ""translation"": ""bóng rổ""
  },
  {
  ""word"": ""badminton"",
  ""translation"": ""cầu lông""
  },
  {
  ""word"": ""swimming"",
  ""translation"": ""bơi lội""
  },
  {
  ""word"": ""cycling"",
  ""translation"": ""đạp xe""
  },
  {
  ""word"": ""running"",
  ""translation"": ""chạy bộ""
  }
  ]
 }",Tham gia hành trình phiêu lưu kỳ thú cùng bạn của Pika thôi!,WORK_FLOW,Luyện tập,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1157
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""football"",
  ""translation"": ""bóng đá""
  },
  {
  ""word"": ""basketball"",
  ""translation"": ""bóng rổ""
  },
  {
  ""word"": ""badminton"",
  ""translation"": ""cầu lông""
  },
  {
  ""word"": ""swimming"",
  ""translation"": ""bơi lội""
  },
  {
  ""word"": ""cycling"",
  ""translation"": ""đạp xe""
  },
  {
  ""word"": ""running"",
  ""translation"": ""chạy bộ""
  }
  ]
 }",
262026_36,Lựa chọn đúng - trúng phần quà,1119,preA1_36,95,Lựa chọn đúng - trúng phần quà,"{
  ""words"": [
  {
  ""word"": ""tennis"",
  ""translation"": ""quần vợt""
  },
  {
  ""word"": ""volleyball"",
  ""translation"": ""bóng chuyền""
  },
  {
  ""word"": ""baseball"",
  ""translation"": ""bóng chày""
  },
  {
  ""word"": ""skipping"",
  ""translation"": ""nhảy dây""
  },
  {
  ""word"": ""skating"",
  ""translation"": ""trượt băng""
  },
  {
  ""word"": ""skiing"",
  ""translation"": ""trượt tuyết""
  }
  ]
 }","Thử tài tinh mắt, phán đoán và nói đúng từ tiếng Anh mà cậu chọn",WORK_FLOW,Khởi động,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1119
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""tennis"",
  ""translation"": ""quần vợt""
  },
  {
  ""word"": ""volleyball"",
  ""translation"": ""bóng chuyền""
  },
  {
  ""word"": ""baseball"",
  ""translation"": ""bóng chày""
  },
  {
  ""word"": ""skipping"",
  ""translation"": ""nhảy dây""
  },
  {
  ""word"": ""skating"",
  ""translation"": ""trượt băng""
  },
  {
  ""word"": ""skiing"",
  ""translation"": ""trượt tuyết""
  }
  ]
 }",
190526_10,Trận đấu quần vợt,1719,preA1_36,96,Trận đấu quần vợt,"{
""words"": [
{
""word"": ""Tennis"",
""translation"": ""Quần vợt""
},
{
""word"": ""Umbrella"",
""translation"": ""Ô""
},
{
""word"": ""Vanilla"",
""translation"": ""Vani""
},
{
""word"": ""Water"",
""translation"": ""Nước""
}
],
""sentences"": []
}
",Pika muốn nói chuyện một chút với cậu về chủ đề thú vị này,AGENT,Luyện ngữ âm,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1719
  }
}",,,,
060526_27,Bé là vận động viên,1580,preA1_36,97,Bé là vận động viên,"{
  ""words"": []
 }","Là lá la, Pika có một bài hát siêu hay dành cho bé đây!",WORK_FLOW,Hát cùng Pika,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1580
  }
}",,,"{
  ""words"": []
 }",
